id,parada,ubicacion
1,Galarza,"Cra. 5a Sur X Cll. 23b, Ibagué, Tolima"
2,Cll. 23a X Cra. 4a Sur,"Ibagué, Tolima"
3,Cll. 23 X Cra. 4 Sur,"Ibagué, Tolima"
4,Yuldaima,"Cra. 5 Sur X Cll. 21, Ibagué, Tolima"
5,Iglesia Yuldaima,"Cra. 5 Sur X Cll. 18a, Ibagué, Tolima"
6,Barrio Avenida,"Cra. 5 Sur X Cll. 15a, Ibagué, Tolima"
7,Carrera 4 Sur 1364,"Ibagué, Tolima"
8,Carrera 4 Sur,"Ibagué, Tolima"
9,Cra. 2 Sur,"Ibagué, Tolima"
10,Cra. 2 X Cll. 15,"Ibagué, Tolima"
11,Matallana,"Cll. 20 X Trn. 1 Sur, Ibagué, Tolima"
12,Cra. 20 X Cra. 1,"Ibagué, Tolima"
13,Terminal de Transporte,"Cra. 1 X Cll. 20, Ibagué, Tolima"
14,Cra. 1 X Cll. 18,"Ibagué, Tolima"
15,Cra. 1 X Cll. 16,"Ibagué, Tolima"
16,Plaza 21,"Ibagué, Tolima"
17,Cádiz,"Cll. 37 X Cra. 5, Ibagué, Tolima"
18,Los Olivos,"Ibagué, Tolima"
19,Piscinas Olímpicas,"Ibagué, Tolima"
20,SENA,"Av. Ferrocarril X Cll. 43a, Ibagué, Tolima"
21,Av. Mirolindo X Cll. 45,"Ibagué, Tolima"
22,Fiscalía General de la Nación,"Ibagué, Tolima"
23,Glorieta Mirolindo Lado Sur,"Ibagué, Tolima"
24,Tereque,"Ibagué, Tolima"
25,Recreacafé,"Ibagué, Tolima"
26,Clínica Avidanti,"Ibagué, Tolima"
27,Centro Recreacional Comfenalco,"Ibagué, Tolima"
28,SENA Industrial,"Ibagué, Tolima"
29,Arboleda,"Av. Mirolindo X Cll. 143, Ibagué, Tolima"
30,Picaleña,"Ibagué, Tolima"
31,Las Victorias,"Av. Picaleña Rural Km 0,23, Ibagué, Tolima"
32,Bodegas Don Zoilo,"Av. Picaleña Rural Km 1.0, Ibagué, Tolima"
33,Clinaltec,"Av. Picaleña Rural Km 2,3, Ibagué, Tolima"
34,La Miel,"Av. Picaleña Rural Km 4,1, Ibagué, Tolima"
35,Los Olivos,"Av. Picaleña Rural Km 4,4, Ibagué, Tolima"
36,Parque Logístico Oikos,"Av. Picaleña Rural Km 7, Ibagué, Tolima"
37,Buenos Aires,"Vía Gualanday - Ibagué, Tolima"
38,Cemex,"Vía Ibagué Gualanday, Tolima"
39,Playa Hawái,"Vía Ibagué Gualanday, Tolima"
40,Peaje Gualanday,"Vía Ibagué Gualanday, Tolima"
